motivos,crec,cred,equ,inic,inv,mkt,no,renta,sueldo,temp
Inversión en mercancía para poder ofrecer más productos,0,0,0,0,1,0,0,0,0,0
Comprando mercancía y pagando a provedores,0,0,0,0,1,0,0,0,0,0
Compra de refacciones y lo  demas de agregados,0,0,0,0,1,0,0,0,0,0
Para comprar una camioneta de medio uso y aplicar adecuaciones al terreno en el que estaremos trabajando,0,0,1,0,0,0,0,0,0,0
para invertir en dos activos y material para la fabricación y reparación de calzado.,0,0,0,0,1,0,0,0,0,0
para inversion de mercancia y crecimiento en el manejo de marcas asi como agrandar y adaptar el espacio para un mejor servicio,0,0,0,0,1,0,0,0,0,0
"Para exportación de frutas de temporada, para pago de logística ",0,0,0,0,0,0,0,1,0,0
Compra de herramienta elevadores y rampa frenera,0,0,0,0,1,0,0,0,0,0
LO UTILIZAREMOS PARA CAPITAL DE TRABAJO E INOVACIÓN ,1,0,0,0,0,0,0,0,0,0
COMPRAR EQUIPO DE COMPUTO PARA EL DESPACHO,0,0,1,0,0,0,0,0,0,0
Para comprar una etiquetadora para darle presentación a mi producto. produzco Tortillas de Harina Dulces mi página de Facebook es Ofelia's Tortillas Dulces,0,0,0,0,0,1,0,0,0,0
Comprar equipo e cómputo y arrendamiento de local,0,0,0,0,0,0,0,1,0,0
COMPRAR HERRAMIENTA Y MAQUINARIA PARA CRECER LAS VENTAS,0,0,1,0,0,0,0,0,0,0
adquisición de herramientas y maquinaria compostura de herramientas contratación de paquete publicitario en redes sociales y radio difusora compra de material por mayoreo para adquirir mejor precio de compra.,0,0,1,0,0,0,0,0,0,0
Compra de equipo fotográfico equipos de computo y licencias de software,0,0,1,0,0,0,0,0,0,0
Comprar herramientas de trabajo así como surtir de accesorios de celulares ya que nuestra empresa se dedica a reparación y mantenimiento de CelularesComputadoras y Tables quiero extender nuestro nicho agregando mas novedades y productos,0,0,1,0,0,0,0,0,0,0
Tengo un negocio de calzado por lonque nesecito invertir mas para tener un inventario mas amplio,0,0,0,0,1,0,0,0,0,0
hacer mas grande mi negocio y expandirlo,1,0,0,0,0,0,0,0,0,0
UTILIZARLO EN INVERTIR PARA CRECIMIENTO DE PRODUCCION,1,0,0,0,0,0,0,0,0,0
Compra de Combustibles en diferentes luagres del pais.,0,0,0,0,0,0,1,0,0,0
Ehrhrhrhrhrhrhrhrhrbrbrbfbfbfbfbfbfbfbfbfbf,0,0,0,0,0,0,1,0,0,0
Compra de mercancia y pagar algunas deudas,0,1,0,0,1,0,0,0,0,0
ampliacion del area de la cocina y compra de refrigerador,0,0,0,0,0,0,0,1,0,0
Compra de más mobiliario Crecimiento en cocinaAmpliar bodega,0,0,0,0,0,0,0,1,0,0
Casetas y diesel mantenimiento y si me alcanza para el enganche de un camion,0,0,1,0,0,0,0,0,0,0
"SE SOLICITA FINANCIAMIENTO PARA CAPITAL DE TRABAJO PROPIOS DEL NEGOCIO TALLER MECANICO AUTOMOTRIZ TALES COMO HERRAMIENTAS , EQUIPO Y ALGUNOS ADITAMENTOS",0,0,1,0,0,0,0,0,0,0
"Remodelacion de unidades, como modernización de asientos equipo de audio y video así como apariencia exterio",0,0,0,0,0,0,0,1,0,0
en comprar otro equipo para fabricar hielo,0,0,1,0,0,0,0,0,0,0
NUEVO PROYECTO DE MANUFACTURA PARA INDUSTRIA AUTOMOTRIZ  ALTO VOLUMEN,0,0,0,1,0,0,0,0,0,0
Para remodelacion de oficina y equipo mobiliario,0,0,0,0,0,0,0,1,0,0
Ampliacion de negocio una nueva sucursal,1,0,0,0,0,0,0,0,0,0
en la adquisicion de maquinaria que nos pueda hacer mas competitivos y a la vez mas productivos,0,0,1,0,0,0,0,0,0,0
Sistemas para gestión del servicio que le damos a nuestros clientes,1,0,0,0,0,0,0,0,0,0
"1.- Adquisición de mercancías
Innovar en la plataforma digital",0,0,0,0,1,1,0,0,0,0
"Adquisicion de materia prima a granel para conseguir precio de mayorista, concretamente harina MINSA por tonelada",0,0,0,0,1,0,0,0,0,0
Quiero expandir mi lugar de trabajo ya que afortunadamente tenemos mas clientes pero necesito invertir en infraestructuras,0,0,0,0,0,0,0,1,0,0
UN PROYECTO DE UN SERVICIO PARA OTROS 200 EMPLEADOS,0,0,0,0,0,0,0,0,1,0
"Alternamente a mi trabajo, tengo un negocio propio del giro editorial y quisiera construir oficinas en un terreno que tengo",0,0,0,0,0,0,0,1,0,0
Quiero invertir en el negocio familiar una tienda de abarrotes para el crecimiento del mismo,0,0,0,0,1,0,0,0,0,0
 invertir en inventarios para resurtir la tienda y poder capacitar mejor a mi personal,0,0,0,0,1,0,0,0,0,0
"Nuestro Negocio es una empresa de Venta de LLantas multimarca, patio de servicio y afinacion y balanceo. Necesitamos una Balanceadora nueva y un compresor de  Nitrógeno para llantas.",0,0,1,0,0,0,0,0,0,0
"inversion en material y equipo de curacion para la clinica, consultorio etc",0,0,1,0,0,0,0,0,0,0
"Quiero poner un pequeño restaurant de comida mexicana, pozole y tortas ahogadas, con sus variedades.",0,0,0,1,0,0,0,0,0,0
Mi negocio va creciendo y con el primer credito me fue bien ahorita ya tengo varios pedidos y los cuales necesito surtir de mercancia para poder cubrirlos y me pagan contra entrega,1,0,0,0,0,0,0,0,0,0
Para surtido grande de mi negocio  para así adquirir mejores ganancias,0,0,0,0,1,0,0,0,0,0
Para adquisición de equipo y mejoramiento del negocio,0,0,1,0,0,0,0,0,0,0
Invertir en equipo para nuevo proyecto y así vez crecimiento de la empresa,0,0,1,0,0,0,0,0,0,0
Maquinaria para cortar y enchapar madera para muebles,0,0,1,0,0,0,0,0,0,0
En capital de trabajo para un nuevo proyecto,0,0,0,1,0,0,0,0,0,0
Necesito el credito para poder liquidar y restaurar una vivienda,0,0,0,0,0,0,1,0,0,0
"En materia prima, cinta industrial y resortr",0,0,0,0,1,0,0,0,0,0
Compra de maquinaria y equipo y pago de pasivos,0,0,1,0,0,0,0,0,0,0
en mobiliario y equipo para mejor servicio,0,0,1,0,0,0,0,1,0,0
EN HACER CRECER EL NEGOCIO INVERTIR EN COMPUTO Y MEJORAR EL LOCAL COMERCIAL,0,0,0,0,0,0,0,1,0,0
"SOLICITO EL PRESTAMO PARA  INVERTIR EN MI NEGOCIO , HACER MODIFICACIONES, E INVERTIR MAS EN MIS MATERIAS PRIMAS PARA CONTAR CON SUFICIENTE INVENTARIO PARA  MANTENER LA ENTRADA DE MIS ACTIVOS LIMPIA.",0,0,0,0,1,0,0,0,0,0
En remodelacio de lical comercial y compra de mercancia.,0,0,0,0,1,0,0,1,0,0
"Requiero capital para solventar gastos de producción en lo que mis clientes pagan, como librerías musicales, honorarios, etc.",0,1,0,0,0,0,0,0,0,0
"Capital y liquidez  mejoras y aumento de ingresos contar con servicio a domicilio  el restaurante ya cuenta con un ingreso bruto de 200,000 pesos mensuales promedio",1,0,0,0,0,0,0,0,0,0
PARA DAR MANTENIMIENTO A EQUIPOS MÉDICOS Y CAPITAL DE TRABAJO,0,0,1,0,0,0,0,0,0,0
"Negocio de comida, taqueria, servicio de foodtruck",0,0,0,1,0,0,0,0,0,0
EN EQUIPO DE TRABAJO PARA MEJORAR NUESTROS SERVICIOS Y PRODUCTOS,0,0,1,0,0,0,0,0,0,0
Hola buen dia me gustaria para invertir en meter mas productos a mi negocio y aserlo crecer un poco mas,0,0,0,0,1,0,0,0,0,0
"Compra de equipo nuevo y reparación de equipo existente, y remodelacion de área de trabajo",0,0,1,0,0,0,0,1,0,0
Compra de activo fijo y contratacion de servicios en linea.,1,0,0,0,0,0,0,0,0,0
"Copiadora, equipo electrónico: cámaras de seguridad",0,0,1,0,0,0,0,0,0,0
Apertura de una nueva sucursal del Festival del Asado en Guadalajara.,1,0,0,0,0,0,0,0,0,0
Requiero dinero para continuar laborando. Capital de trabajo,0,0,0,0,0,0,1,0,0,0
Lo utilizaremos para Capital de Trabajo en  lo que recuperamos algunas CxC,0,1,0,0,0,0,0,0,0,0
Crecimiento a nuevas ciudades y expansión de productos ofrecidos,1,0,0,0,0,0,0,0,0,0
Maquinas roladoras de lámina para cortina metálica tipo plana y europea,0,0,1,0,0,0,0,0,0,0
PARA LA APERTURA DE UNA NUEVA SUCURSAL DE MANTENIMIENTO PREVENTIVO DE AUTOS,1,0,0,0,0,0,0,0,0,0
Mayor volumen de producto para satisfacer la demanda,0,0,0,0,1,0,0,0,0,0
CAPITAL DE TRABAJO Y COMPRA DE EQUIPO SERIA LA PRINCIPAL RAZON,0,0,1,0,1,0,0,0,0,0
REMODELACION Y REHABILITACION DE INMUEBLES,0,0,0,1,0,0,0,0,0,0
Marketing e inversió inicial de nuevos proyectos,0,0,0,0,0,1,0,0,0,0
El Credito se invertira en Stock  como preparacion para el ultimo cuatrimestre del año que es el mas activo en cuestion ventas.,0,0,0,0,0,0,0,0,0,1
Equipo refrigerador horno de banda marca Marshall computadoras con sistema punto de venta,0,0,1,0,0,0,0,0,0,0
Expansion del negocio en una nueva sucursal,1,0,0,0,0,0,0,0,0,0
AMPLIAR MI NEGOCIO CONCRETAMENTE LA DISTRIBUCION DE PRODUCTOS PROPIOS PARA EL NEGOCIO,1,0,0,0,0,0,0,0,0,0
Rentar una Bodega contratar Empreado para ventas comprar maquinas y herramientas para stock,0,0,1,0,1,0,0,1,0,0
en la compra de productos para incrementar mi inventario y por ende mis ventas,0,0,0,0,1,0,0,0,0,0
Mercancías. Cosméticos accesorios para dama,0,0,0,0,1,0,0,0,0,0
Equipo de cómputo mercancía y vehículo y personal administrativo,0,0,1,0,0,0,0,0,1,0
OFICINAS EQUIPO Y MAQUINARIA PARA CONSTRUCCION DE OBRA CIVIL,0,0,1,0,0,0,0,1,0,0
En la compra de otro vehiculo y herramienta para generar el doble de productividad,0,0,1,0,0,0,0,0,0,0
CAPITAL  DE TRABAJO COMPRA DE EQUIPOS PARA DESARROLLAR LA ACTIVIDAD,0,0,1,0,0,0,0,0,0,0
En una oficina y cubrir un credito de nomina banamex,0,1,0,0,0,0,0,1,0,0
Inventario otoñoinvierno y remodelación del local,0,0,0,0,0,0,0,1,0,1
"CAPITAL DE TRABAJO, COMPRA DE MERCANCIA PARA SURTIR LAS ZAPATERIAS PARA FIN DE AÑO",0,0,0,0,0,0,0,0,0,1
Material en general. Mercería juguetes copiado impresión,0,0,0,0,1,0,0,0,0,0
INYECTAR LIQUIDEZ A MI NEGOCIO PARA UNA LICITACION,0,1,0,0,0,0,0,0,0,0
Equipos refacciones para celulares  herramientas,0,0,1,0,0,0,0,0,0,0
CAPITAL DE TRABAJO ADQUISICIÓN DE INSUMOS ,0,0,0,0,1,0,0,0,0,0
Es para adquirir rodillos aniloxPara ampliar el mercado,0,0,1,0,0,0,0,0,0,0
Nuevo equipo de purificación y unidad de reparto del producto,0,0,1,0,0,0,0,0,0,0
Venta de tortas gorditas bocoles tamales,0,0,0,1,0,0,0,0,0,0
QUIERO TERMINAR LOS CREDITOS QUE TOME DE MIS TARJETAS PARA LA INVERSIÓN EN ACONDICIONAR LA OFICINA Y LA ADQUISICION DE EQUIPO Y SOFWARES CONTABLES,0,1,0,0,0,0,0,0,0,0
"Compra de equipo de seguridad, camaras de seguridad y equipo para aire acondicionado",0,0,1,0,0,0,0,0,0,0
Quiero tener flujo de efectivo para pagar impuestos mientras recupero cartera perdida ,0,1,0,0,0,0,0,0,0,0
Capital de trabajo equipos y renta de local para comisariato,0,0,1,0,0,0,0,1,0,0
Equipo Médico Mercancía Alimento medicamentos,0,0,1,0,0,0,0,0,0,0
Capital de Trabajo para desarrollo inmobiliario. ,0,0,1,0,0,0,0,0,0,0
Tengo tres negociosUna carnicería Un consultorio medicoUna farmaciaYo soy medico con maestria en ultrasonido medico Y como viene la temporada alta en ambos negocios ocupo capital para comprar en volumen y tener mejor margen de ganancia.,0,0,0,0,0,0,0,0,0,1
Para añadir nuevos productos y comprar maquinaria nueva y nueva tecnologia.,0,0,1,0,1,0,0,0,0,0
CAPITAL DE TRABAJO PARA COMPRA DE ACTIVO FIJO Y REMODELACION DE INSTALACIONES,0,0,0,0,1,0,0,1,0,0
2 unidades dentales para atender a un mayor numero de pacientes a la vez,0,0,1,0,0,0,0,0,0,0
En mi estudio profesional de fotografía digital,0,0,0,0,0,0,0,1,0,0
MERCANCIA YA QUE VIENE LA TEMPORARDA DE VINOS Y LICORES Y EN ESTE MES SON LAS OFERTAS,0,0,0,0,0,0,0,0,0,1
el credito se utilizara para cambio y adaptacion de un mejor local comercial compra de herramientas especializadas para equipos nuevos.,0,0,1,0,0,0,0,1,0,0
Compra de insumos para la preparacion de los alimentos y gastos generales del local,0,0,0,0,1,0,0,1,0,0
TRABAJO DE AMPLIACION DE CUARTO DE FIBRA OPTICA,0,0,0,0,0,0,0,1,0,0
"COMPRA DE INVENTARIO, PAGO DE PASIVOS, PAGO A PROVEEDORES",0,0,0,0,1,0,0,0,0,0
PARA FINANCIAMIENTO DE UN NUEVO CONTRATO OBTENIDO,0,1,0,0,0,0,0,0,0,0
equipo de computo especializado para la edición fotográfica en mi negocio. Ya termine los cuarenta caracteres y no me deja continuar.,0,0,1,0,0,0,0,0,0,0
capital de trabajo para compra de inventarios,0,0,0,0,1,0,0,0,0,0
COMPRA DE MERCANCIA A BAJO COSTO Y DE TEMPORADA MUY BUENA OPORTUNIDAD DE HACER NEGOCIO,0,0,0,0,0,0,0,0,0,1
CAPITAL DE TRABAJO PARA COMPRA DE MATERIALES ,0,0,0,0,1,0,0,0,0,0
Inversión en capital de trabajo para proyecto ya en puerta,0,0,0,0,1,0,0,0,0,0
En una sucursal en otro municipio para crecer mi negocio es de refrigeracion industrial,1,0,0,0,0,0,0,0,0,0
"Compra de Sistemas para Viajes, Licencias, Mobiliarios, Computadoras,  Contratación de Personal, Capital de Trabajo.",0,0,1,0,1,0,0,0,1,0
en comprar equipos y hacer un local físico para poder tener mas credibilidad .,0,0,1,0,0,0,0,0,0,0
En comprar mas materia prima para tener en stop y no quedarme sin material,0,0,0,0,1,0,0,0,0,0
En orden de compra de cliente que ya esta pedido y necesitamos el dinero para poder realizar la compra,0,0,0,0,0,0,0,0,0,1
Expander la empresa y traer nuevos productos,1,0,0,0,0,0,0,0,0,0
"en capital de trabajo, en compra de equipo para ventas",0,0,1,0,0,0,0,0,0,0
Proyecto de desarrollo de mis servicios médicos con ampliación de equipo,0,0,1,0,0,0,0,0,0,0
REQUIERO CAPITALIZAR MI NEGOCIO Y PONERME AL CORRIENTE CON PROVEEDORES,0,1,0,0,0,0,0,0,0,0
Adquirir vehículo para hacer reparto a domicilio,0,0,1,0,0,0,0,0,0,0
Inventario inicial de refacciones y herramientas,0,0,0,1,1,0,0,0,0,0
Inventario de equipos agrícolas y Pecuarios,0,0,0,0,1,0,0,0,0,0
Abriremos un nueva sucursal en un nuevo centro comercial,0,0,0,0,0,0,0,1,0,0
Calzado para dama  bolsos chamarra de piel cinturón carteras etc,0,0,0,0,1,0,0,0,0,0
Capital para financiación de obra y equipo para oficina.,0,0,0,0,0,0,0,1,0,0
necesito pagar unas deudas y tambien necesito para pagar medicamentos de mi pareja.,0,0,0,0,0,0,1,0,0,0
Infraestructura para facilitar la operación diariamente,1,0,0,0,0,0,0,0,0,0
iniciamos con  proyecto grande en monterrey estamos iniciando operaciones en esta ciudad y el cliente es suburbia son 8 sucursales lo que nos piden son 3 meses de credito y principalmente lo usuaremos para la nomina de los prestadores de servicios.,0,0,0,0,0,0,0,0,1,0
EN LA COMPRA DE DOS AUTOMOVILES UTILITARIOS Y EL SEGURO DE AMBOS,0,0,1,0,0,0,0,0,0,0
EN INSUMOS Y COMPRA DE MAQUINARIA PARA HACER SERVICIOS EXTRAS A LOS VEHICULOS QUE LES DAMOS MANTENIMIENTO COMO ALINEACION Y BALANCEO,0,0,1,0,0,0,0,0,0,0
Elaboracion de quesos y fabrica de novedades,0,0,0,0,1,0,0,0,0,0
Actualmente el negocio lo dirijo desde una oficina y el trabajo tecnico se realiza desde el taller de un familiar necesito tener un local propio que nos permita crecer independientemente,0,0,0,0,0,0,0,1,0,0
"Me interesa invertir en equipo nuevo, y equipo de ventas para aumentar las ventas en mi empresa.",0,0,1,0,0,0,0,0,1,0
Deseo invertir en productos para mi salón de belleza  también tomar algunos cursos de capacitación etc,0,0,1,0,0,0,0,0,0,0
Apertura de una nueva sucursal en Querétaro,1,0,0,0,0,0,0,0,0,0
"CRECIMIENTO SOMOS COMERCIANTES PRODUCTORES DE CAFÉ EN CHIAPAS, ACTUALMENTE SE DSITRIBUYE EN TODA LA REPUBLICA PERO EMPEZAREMOS A EXPANDERNOS Y EXPORTAR A EEUU PARA ESO REQUERIMOS EL CAPITAL LA MARCA DEL CAFÉ ES
CAFÉ Y RICHIS COFFE ",1,0,0,0,1,0,0,0,0,0
Voy a usar el prastamo para comprar paneles Solares e inversores para una instalacion de 70 paneles,0,0,1,0,0,0,0,0,0,0
TRANSPORTACIÓN DE MAQUINARIA Y EQUIPO EN PAPELERIA,0,0,1,0,0,0,0,0,0,0
Para compra de alevines incremento de producion y compra de alimento.,0,0,0,0,1,0,0,0,0,0
Quiero concentrar un crédito hipotecario y mis tarjetas en 1 solo credito,0,1,0,0,0,0,0,0,0,0
EN COMBUSTIBLES PARA MAS FLETES Y TENER UN FONDO FINANCIERO PARA CUANDO LOS CLIENTES TARDEN EN PAGAR.,0,1,0,0,0,0,0,0,0,0
CAPITAL DE TRABAJO INVERTIR EN INVENTARIO PARA MI NEGOCIO,0,0,0,0,1,0,0,0,0,0
EQUIPAMIENTO DE OTRA SUCURSAL COMO EQUIPOS MATERILES Y REACTIVOS  INMOBILIARIOS Y OTROS,1,0,1,0,0,0,0,0,0,0
Expander y traer nuevas tecnologias para poner en la clinica.,0,0,0,0,0,0,0,1,0,0
Quiero adquirir mercancía para iniciar el año,0,0,0,0,0,0,0,0,0,1
Compra de equipo de computo especial para diseño  y otro equipo como cámara fotográfica.,0,0,1,0,0,0,0,0,0,0
"inversion de Inventarios, asi como herramientas para que pueda crecer mis metas de venta",0,0,0,0,1,0,0,0,0,0
REQUERIMOS CAPITAL PARA AUMENTAR NUESTRA CAPACIDAD,1,0,0,0,0,0,0,0,0,0
"Quiero ampliar el area de produccion de mi negocio \construccion\"" y comprar dos refrigeradores industriales""",0,0,1,0,0,0,0,0,0,0
Buenas tardes quiero invertir en mi negocio y pagar un crédito con el banco ya que los intereses son muy altos,0,1,0,0,0,0,0,0,0,0
Compra de inventario publicidad y capacitacion,0,0,0,0,1,1,0,0,0,0
CRECIMIENTO DE LA  FIRMA HABILITAR DOS LOCALES,1,0,0,0,0,0,0,1,0,0
Pago de deudas e inversión en materiales,0,1,0,0,1,0,0,0,0,0
Inagurar nuevas cedes para crecimiento acelerado,1,0,0,0,0,0,0,0,0,0
"Incrementando el numero de accesorios de stock, para garantizar a mis clientes, entregas mas rapidas que la competencia",0,0,0,0,1,0,0,0,0,0
EN PAGO A EMPLEADOS POR HONORARIOS SERVICIOSPROVEEDORES,0,0,0,0,0,0,0,0,1,0
En hacer un surtido mayor para la temporada y mis clientes conozcan la variedad de mis productos,0,0,0,0,0,0,0,0,0,1
en ropa para invierno  gorros y bisuteria,0,0,0,0,0,0,0,0,0,1
Adquisición de equipo para venta importante,0,0,0,0,0,0,0,0,0,1
EL CREDITO SERA UTILIZADO PARA CAPITAL DE TRABAJO,0,0,0,0,1,0,0,0,0,0
1. Comprar 4 licuadoras industriales marca Bill de 3 hp.2. compra de insumos para generar un stock interno del cual carezco con el cual incrementaría mis ventas .3. realizaría un nuevo empaque reciclable y ecológico de grado alimenticio.4. compra de un pequeño transporte para entregas,0,0,1,0,1,0,0,0,0,0
Material para la empresa y poder atender a los clientes mas rapido,0,0,1,0,0,0,0,0,0,0
"Requiero contratar mas personal que me ayude en redes sociales y en la promoción y diversificación de mi negocio, para abarcar más empresas que utilicen mis servicios",0,0,0,0,0,1,0,0,1,0
compra de maquinaria y terreno para la cosntruccion de bodega con equipamiento de oficina,0,0,1,0,0,0,0,0,0,0
Compra de equipo para abrir otra sucursal y asi comenzar a expanderme,0,0,1,0,0,0,0,0,0,0
compra de activos fijos y remodelacion de oficina ,0,0,0,0,1,0,0,1,0,0
Capital de trabajo y lanzamiento de salsas embotelladas,1,0,0,0,1,0,0,0,0,0
NECESITAMOS SURTIR MATERIAL TEXTIL Y SUS INSUMOS PARA CONFECCIÓN DE UNIFORMES ESCOLARES.E INVERTIR EN UNA NUEVA ESCUELA MAS.,0,0,0,0,1,0,0,0,0,0
Trabajo con mi camioneta y necesito arreglarla mecánicamente y acondicionar el interior,0,0,1,0,0,0,0,0,0,0
compra de mercancía a menor precio y equipo de computo,0,0,0,0,1,0,0,0,0,0
adquisición de mercancías contratación de personal,0,0,0,0,1,0,0,0,1,0
Capitalizar la empresa invertir en publicidad y tener capacidad para vender a crédito a corto plazo,0,1,0,0,0,1,0,0,0,0
"Para el desarrollo de una página de internet , que abarca desde el diseño, la programación, compra de imágenes, pago de hospedaje y algunos otros detalles.",0,0,0,0,0,1,0,0,0,0
Compra de mercancía pago de deuda proveedores,0,0,0,0,1,0,0,0,0,0
ADQUISICIÓN DE MERCANCIAS Y HERRAMIENTAS LABORALES ADECUACIONES DE LAS INSTALACIONES DEL TALLER EXPANSIÓN Y CRECIMIENTO DE LA SUCURSAL.,0,0,0,0,1,0,0,0,0,0
Es para crecer mi negocio compra venta de ganado y forraje,0,0,0,0,1,0,0,0,0,0
ME GUSTARIA REMODELAR EL HOTEL DARLE UNA PINTADA Y CAMBIAR SABANAS,0,0,0,0,0,0,0,1,0,0
"Consultoría de recursos humanos, procediendo sobre todo en capacitación y adiestramiento",0,0,0,0,1,0,0,0,0,0
Pagar creditos personales y capital de trabajo,0,1,0,0,0,0,0,0,0,0
Se requiere financiamiento para Capital de Trabajo.,0,0,0,0,1,0,0,0,0,0
"IMPORTACION DE COLECCIONES DE TAPIZ, PARA VENTA AL POR MAYOR ",0,0,0,0,1,0,0,0,0,1
"Requerimos capital para la adquisición de mercancías en extranjero con las cuales integramos para proyectos de construccion, instalaciones especiales de voz, datos, control de acceso y detección de incendio.",0,0,0,0,1,0,0,0,0,0
Equipo de sublimado e insumos para personalizar playeras y en tiempo de temporada baja del escolar auxiliarme con otros trabajos,0,0,0,0,0,0,0,0,0,1
invertire mas en el negocio para crecer como es maquinaria y andamios,0,0,1,0,0,0,0,0,0,0
PARA COMPRAR INVENTARIO PARA SURTIR MI NEGOCIO Y TENER MAYOR CLIENTELA,0,0,0,0,1,0,0,0,0,0
equipo para corte laser para elborar grabados,0,0,1,0,0,0,0,0,0,0
PARA CRECER EN VENTAS Y EQUIPO DE TRABAJO,0,0,1,0,0,0,0,0,0,0
Requiero para capital de trabajo de un contrato de mantenimiento de herrería de una empresa.,0,0,1,0,0,0,0,0,0,0
En redes sociales en materiales publicitarios.En muebles de exhibición Ya que nos dedicamos a promocionar el diseño y producción de Stands en expos a nivel nacional.,0,0,0,0,0,1,0,0,0,0
Bolsas carterastenisropa para dama entre otras cosas,0,0,0,0,1,0,0,0,0,0
Inversión en infraestructura publicidad y recursos materiales,0,0,0,0,0,1,0,1,0,0
adquisición de materia prima para tener producto terminado en stock,0,0,0,0,1,0,0,0,0,0
REMODELACION DEL LOCAL Y COMPRA DE EQUIPO,0,0,0,0,0,0,0,1,0,0
para unificar deuda y otros gastos que hay,0,1,0,0,0,0,0,0,0,0
INVERSION PARA SURTIR MEDICAMENTO PARA FARMACIA,0,0,0,0,1,0,0,0,0,0
Lo pienso utilizar en mercancía para surtir mi negocio de ropa y accesorios,0,0,0,0,1,0,0,0,0,0
Mercancía para mi negocio y pagar una deuda,0,0,0,0,1,0,0,0,0,0
en material y equipo herramientasllantas gatos hidraulicosparches pistola de inpacto  para el taller,0,0,1,0,0,0,0,0,0,0
Para restaurar mi carro de tacos por uno nuevo de acero inoxodable,0,0,1,0,0,0,0,0,0,0
compra de equipo y capacitación para el personal,0,0,1,0,0,0,0,0,1,0
Compra de equipo y suministros por incremento de clientes,0,0,1,0,0,0,0,0,0,1
Modernización del equipo de computo para trabajo especializado,0,0,1,0,0,0,0,0,0,0
Compra de Materia Prima y Consolidación de Deuda.,0,1,0,0,1,0,0,0,0,0
COMPRA DE MATERIA PRIMA PARA CAPITALIZARNOS,0,0,0,0,1,0,0,0,0,0
PAGO DE IMPUESTOS POR VENTA DE DEPARTAMENTOS DE UN DESARROLLO QUE HICE CON TRES SOCIOS. MARSELLA 59 EN LA JUAREZ,0,1,0,0,0,0,0,0,0,0
Deseo invertir en publicidad sobre todo y en mi local comercial.,0,0,0,0,0,1,0,0,0,0
en mejoras de los departamentos para poder incrementar las rentas ,0,0,0,0,0,0,0,1,0,0
"INVERSIÓN DE COMPUTADORAS E IMPRESORA,  REMODELACION DE CUBICULOS",0,0,0,0,0,0,0,1,0,0
PARA REPARACIONES Y MANTENIMIENTO DE MAQUINARIA,0,0,1,0,0,0,0,0,0,0
Comprar mercancía para invertir mi negocio ,0,0,0,0,1,0,0,0,0,0
Para la compra de equipos de aplicación (maquinaria) de adhesivo y que las empresas puedan comparar nuestros adhesivos en convenio de comodato - suministro. Es nuestra principal barrera.,0,0,1,0,0,0,0,0,0,0
Para liquidar tarjetas y comprar material,0,0,0,0,1,0,0,0,0,0
CAPITAL DE TRABAJO PARA UN CONTRATO YA FACTURADO Y COMPRA DE INVENTARIO,0,0,0,0,1,0,0,0,0,0
Para inyectar un capital que nos permitira invertir maa,1,0,0,0,0,0,0,0,0,0
EN SURTIR LA TIENDA REFRIGERADORES LAVADORAS TODA LA LINEA BLANCA Y ELECTRODOMESTICOS QUE PUEDA CON EL CREDITO QUE ME OTORGUEN,0,0,0,0,1,0,0,0,0,0
EN CAPITAL DE TRABAJO YA QUE REQUIERO CAPITAL PARA ABRIR UNA NUEVA SUCURSAL Y ADQUIRIR UN VEHÍCULO DE REPARTO.,0,0,0,1,0,0,0,0,0,0
EN COMPRA DE MAQUINARIA Y CAPITAL DE TRABAJO,0,0,1,0,0,0,0,0,0,0
Se requiere para capital de trabajo Compra de mercancía y ampliación del negocio.,1,0,0,0,1,0,0,0,0,0
Para Mantenimiento compra de tinacos y paneles solares,0,0,1,0,0,0,0,0,0,0
Equipo para construccion y financiamiento de obra,0,0,1,0,0,0,0,0,0,0
Capital de trabajo básicamente para compras en volumen de aluminio y vidrio para solventar los requerimientos de los clientes,0,0,0,0,1,0,0,0,0,0
Acer más sucursales y renovar los que ya tengo,1,0,0,0,0,0,0,0,0,0
pago de deudas de tarjeta de credito y poder luego financiar otro auto para uber,0,1,0,1,0,0,0,0,0,0
Para inversión en equipos médicos y artículos relacionados a Hospitales.,0,0,1,0,0,0,0,0,0,0
Expansión y crecimiento en las ciudades principales de México.,1,0,0,0,0,0,0,0,0,0
Remodelación del local y relleno de almacén,0,0,0,0,0,0,0,1,0,0
El crédito lo quiero para la compra de un terreno,0,0,0,0,0,0,0,1,0,0
Inversión maquinaria y capital para aumentar la producción o tener mejor eficiencia,0,0,1,0,0,0,0,0,0,0
para comprar un camion que se necesita para proveedores que trabajo y darles mejor el servicio,0,0,1,0,0,0,0,0,0,0
Para mobiliario y equipo de trabajo para el equipo que nos ayuda en esta pequeña empresa. Uniformes nuevos credenciales nuevas. Más que nada remodelar lo que tenemos.,0,0,1,0,0,0,0,1,0,0
Compra maquinaria y refacciones mecánicas,0,0,1,0,0,0,0,0,0,0
remodelación de la oficina y adquirir equipo de computo,0,0,0,0,0,0,0,1,0,0
PAGAR DEUDAS E INVERTIR EN UN NEGOCIO LLAMADO ZEAL,0,1,0,1,0,0,0,0,0,0
